SIGUNGU_NM,CODE,AREA_M2
영등포구,510,241385.02501162543
영등포구,620,226731.90294278116
영등포구,710,4961103.988919805
용산구,110,7925006.803418074
용산구,130,1306295.3946521536
용산구,140,775659.3294061249
용산구,150,1538559.1431492206
용산구,160,4545669.86740208
용산구,310,590617.1910976548
용산구,320,87612.52800994396
용산구,330,681832.1136733533
용산구,430,401402.992365827
용산구,620,382762.6401328053
용산구,710,3640905.352463365
은평구,110,11983304.421950357
은평구,120,140495.14221185786
은평구,130,501866.3357713559
은평구,150,953193.5803075439
은평구,160,1132610.8910061612
은평구,210,23.730040898856153
은평구,220,1467808.1132300184
은평구,310,4179209.0597138708
은평구,320,78079.02379703026
은평구,330,5645267.385004437
은평구,410,25652.078768618172
은평구,430,34826.58069848345
은평구,510,60026.81828893787
은평구,620,3521178.9079034035
은평구,710,50348.37146201784
종로구,110,7435943.937720625
종로구,130,2123182.087586218
종로구,140,422226.6589572148
종로구,150,780595.1049973292
종로구,160,2177645.488098874
종로구,310,3847603.268886275
종로구,320,128642.95406227688
종로구,330,4397626.928782076
종로구,410,130257.74652252109
종로구,430,145384.4726006025
종로구,620,2375257.0942314886
종로구,710,8475.057359603139
중구,110,3342511.9255836983
중구,130,2749897.2037407495
중구,140,31421.071906687837
중구,150,889740.7378338864
중구,160,1586319.375031009
중구,310,512078.47316984844
중구,320,1663.449101222191
중구,330,748387.9759872453
중구,430,9209.317086395218
중구,620,111239.21215175686
중랑구,110,8085531.144090241
중랑구,120,67718.43676483641
중랑구,130,858147.8349372343
중랑구,140,77094.33589700804
중랑구,150,1315093.4495978577
중랑구,160,1186679.0298272006
중랑구,220,1402279.9456317874
중랑구,240,41245.43037799514
중랑구,310,415544.38891110575
중랑구,320,303312.11114735686
중랑구,330,2680757.2376803975
중랑구,430,1201412.2094953973
중랑구,620,622189.1988884974
중랑구,710,266172.5837691123
