SIGUNGU_NM,L3_CODE,L3_NAME,AREA_M2
영등포구,161,환경기초시설,67164.19048042835
영등포구,162,교육·행정시설,280584.93334607163
영등포구,163,기타 공공시설,215140.7464034645
영등포구,222,경지정리가 안 된 밭,8238.29531397646
영등포구,311,활엽수림,203686.39281662166
영등포구,321,침엽수림,9585.58939574216
영등포구,411,자연초지,606583.1692585128
영등포구,423,기타초지,3128597.551017985
영등포구,511,내륙습지,99134.07522855935
영등포구,612,강기슭,26731.770854710743
영등포구,622,운동장,204197.67528400908
영등포구,623,기타나지,560516.5384978242
영등포구,711,하천,4946437.487056829
영등포구,712,호소,8688.326505488982
용산구,111,단독주거시설,2076178.9986606406
용산구,112,공동주거시설,857426.3669087207
용산구,121,공업시설,2685.6049710693487
용산구,131,상업·업무시설,1450184.6423803936
용산구,132,혼합지역,33339.44196379803
용산구,141,문화·체육·휴양시설,227363.21881395942
용산구,153,철도,320787.8986282456
용산구,154,도로,4949674.147636969
용산구,155,기타 교통·통신시설,23976.929107541564
용산구,161,환경기초시설,3666.198592523073
용산구,162,교육·행정시설,232559.85740103177
용산구,163,기타 공공시설,152846.10604003764
용산구,212,경지정리가 안 된 논,2213.0845371041805
용산구,221,경지정리가 된 밭,3234.3225734862644
용산구,222,경지정리가 안 된 밭,14754.793130414471
용산구,231,시설재배지,187.62879497837574
용산구,311,활엽수림,2567675.3238416915
용산구,321,침엽수림,1233586.8180407223
용산구,331,혼효림,808895.4008889736
용산구,411,자연초지,270288.39436219924
용산구,422,묘지,1542.5739275796814
용산구,423,기타초지,2355270.0456594774
용산구,511,내륙습지,1043.9289463094947
용산구,612,강기슭,3205.2119109778305
용산구,622,운동장,122414.49713493683
용산구,623,기타나지,430818.1687639908
용산구,711,하천,3706006.1413856233
용산구,712,호소,24497.620713515298
은평구,111,단독주거시설,2793784.9874605928
은평구,112,공동주거시설,2036384.297388702
은평구,121,공업시설,2963.300983576841
은평구,131,상업·업무시설,1275455.1692908811
은평구,132,혼합지역,10855.034554214792
은평구,141,문화·체육·휴양시설,195572.00630386916
은평구,153,철도,96544.36353160528
은평구,154,도로,5637754.383713901
은평구,155,기타 교통·통신시설,5659.913312434835
은평구,161,환경기초시설,5365.908600815238
은평구,162,교육·행정시설,286743.43482900644
은평구,163,기타 공공시설,298189.4604282293
은평구,222,경지정리가 안 된 밭,131379.6802066694
은평구,231,시설재배지,3794.951029705105
은평구,241,과수원,1316.5846140733258
은평구,252,기타재배지,191840.4624987539
은평구,311,활엽수림,6927171.442899157
은평구,321,침엽수림,2934902.2461049035
은평구,331,혼효림,1787147.5838136468
은평구,411,자연초지,391013.0734151867
은평구,422,묘지,45533.922652776164
은평구,423,기타초지,1716340.1837207896
은평구,511,내륙습지,80589.47882788337
은평구,612,강기슭,46013.493150392824
은평구,613,암벽·바위,1795081.235469039
은평구,622,운동장,160688.5814784964
은평구,623,기타나지,835138.6706153364
은평구,711,하천,69738.53100411543
은평구,712,호소,10927.970644483597
종로구,111,단독주거시설,2084204.3663742673
종로구,112,공동주거시설,623021.7407892955
종로구,121,공업시설,4148.063469446456
종로구,131,상업·업무시설,1804174.9568726765
종로구,132,혼합지역,3342.3036736677022
종로구,141,문화·체육·휴양시설,294955.87613138393
종로구,154,도로,4181894.0268934127
종로구,155,기타 교통·통신시설,13634.821431343902
종로구,161,환경기초시설,2923.78882903076
종로구,162,교육·행정시설,351376.3129145957
종로구,163,기타 공공시설,233783.0228876107
종로구,222,경지정리가 안 된 밭,78944.58507630895
종로구,231,시설재배지,1041.6935633693429
종로구,252,기타재배지,11845.657870815689
종로구,311,활엽수림,5479011.66346588
종로구,321,침엽수림,2698683.831385351
종로구,331,혼효림,2280596.560424948
종로구,411,자연초지,282320.31908572325
종로구,422,묘지,456.8144916622737
종로구,423,기타초지,1732873.216967561
종로구,511,내륙습지,20009.22401080258
종로구,612,강기슭,7242.5207419665185
종로구,613,암벽·바위,1049436.5572568958
종로구,622,운동장,151086.37037027127
종로구,623,기타나지,512071.1031778924
종로구,711,하천,41113.64504963502
종로구,712,호소,28647.75943813356
중구,111,단독주거시설,720548.8154120693
중구,112,공동주거시설,294285.8595744971
중구,121,공업시설,570.6250793967805
중구,131,상업·업무시설,2344275.48223941
중구,132,혼합지역,27994.116759789133
중구,141,문화·체육·휴양시설,190610.33387691935
중구,153,철도,28774.9847273557
중구,154,도로,3587205.140945983
중구,155,기타 교통·통신시설,31748.82845623854
중구,161,환경기초시설,1353.2069841527523
중구,162,교육·행정시설,202138.73193477586
중구,163,기타 공공시설,136496.17464394547
중구,222,경지정리가 안 된 밭,1518.3942722462527
중구,231,시설재배지,821.2260029257626
중구,252,기타재배지,1230.7336876687468
중구,311,활엽수림,1001776.4807277212
중구,321,침엽수림,54806.56626553225
중구,331,혼효림,100516.23220327044
중구,411,자연초지,49224.45509415833
중구,423,기타초지,874134.4740126987
중구,511,내륙습지,466.42717407018205
중구,613,암벽·바위,6782.90528514945
